,propertyurl,listingtype,forsaleprice,lastsoldprice,description,bedroom,totalbathrooms,fullbathrooms,halfbathrooms,bathroomdescription,interiorfeatures,coolingfeatures,heatingfeatures,diningroomdescription,exteriorandlotfeatures,waterfeatures,waterfrontdescription,poolfeatures,pooldescription,manufacturedmode,garagespaces,parkingfeatures,homefeaturesview,otherequipment,elementaryschool,highschool,middleschool,associationfeeamenitie,association,associationamenities,associationfee,associationfeefrequency,calculatedtotalmonthlyassociation,maintenancedescription,petdescription,annualtaxamount,sourcelistingstatus,county,directions,taxyear,restrictions,sourcepropertytype,area,sourceneighborhood,postalcode,publicsurveysection,subdivision,zoning,sourcesystemname,totalsquarefeetliving,yearbuilt,constructionmaterials,directionfaces,propertyage,roof,levelsorstories,structuretype,housestyle,totalareasqft,yearbuiltdetails,architecturalstyle,sewer,watersource
0,https://www.realtor.com/realestateandhomes-detail/65-W-7th-St_Hialeah_FL_33010_M56750-63445,buy,375000,None,"This is certainly a rare opportunity to find land in the sought out city of Hialeah zoned R-3D multifamily in a district that allows Child Care Facilities, is quite an added bonus. Whomever is in the market in search of Daycare zonification knows well theyre hard to come by..... There is an existing structure on the lot that seller is in the process on demolishing, the lot will be completely cleared before closing. Only serious buyers please!",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,https://www.realtor.com/realestateandhomes-detail/1950-W-54th-St-Apt-308_Hialeah_FL_33012_M67192-66525,sold,None,150000,StatusSoldPrice/SqFt$174TypeCondo/Townhome/RowHome/Co-OpBuilt1974SchoolsElementarySchool:Dupuis;J.G.HighSchool:Hialeah-MiamiLakesMiddleSchool:HialeahGardens,1,1.00,1,None,Tub Only,"Closet Cabinetry
              Pantry
          
        
        
          
              Window Features: Verticals","Ceiling Fans, Central Cooling",Central Heat,None,None,None,None,None,None,None,None,"1 Space, Assigned Parking, Covered Parking, Guest Parking, Street Parking",Other View,"Dryer, Electric Range, Refrigerator, Smoke Detector, Washer",Dupuis; J.G.,Hialeah-Miami Lakes,Hialeah Gardens,None,Yes,Condo,195,Monthly,195,"Building Exterior, Common Area, Elevator, Parking",None,356,Closed Sale,Miami-Dade County,None,2019,Okay To Lease 1st Year,Condo,20,WESTLAND-EDEN CONDO I,Post,35,WESTLAND-EDEN CONDO I,None,C2C,864,Resale,CBS Construction,East,47,None,None,Condo/Co-Op/Villa/Townhouse,Condo 1-4 Stories,864,Resale,Condo 1-4 Stories,None,None
2,https://www.realtor.com/realestateandhomes-detail/70-W-51st-St_Hialeah_FL_33012_M69753-20816,sold,None,254900,StatusSoldPrice/SqFt$89TypeSingleFamilyHomeBuilt1954,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,https://www.realtor.com/realestateandhomes-detail/5495-W-14th-Ln_Hialeah_FL_33012_M66538-64796,sold,None,460000,StatusSoldPrice/SqFt$233TypeSingleFamilyHomeBuilt1962,5,2.00,2,None,Shower Only,Walk-In Closets,"Central Cooling, Electric Cooling","Central Heat, Electric Heat",None,None,None,None,Y,Below Ground Pool,None,None,Driveway,"Other View, Pool Area View","Electric Water Heater, Electric Range, Refrigerator",None,None,None,"Paved Road, Public Road",None,None,None,None,None,None,None,3323,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,20,PALM SPRINGS ESTS 8TH ADD,Post,35,PALM SPRINGS ESTS 8TH ADD,0100,C2C,2032,Resale,CBS Construction,West,59,Shingle Roof,1,Single Family,Pool Only,2032,Resale,Detached,Municipal Sewer,Municipal Water
4,https://www.realtor.com/realestateandhomes-detail/1220-W-64th-Ter_Hialeah_FL_33012_M66489-45692,sold,None,400000,StatusSoldPrice/SqFt$225TypeSingleFamilyHomeBuilt1957,3,1 / 0,1,None,None,"Laundry Tub
              Split Bedroom
          
        
        
          
              Furnished Description: Furniture Negotiable
              Flooring: Ceramic Tile","Central, Electric, Paddle Fans","Central, Electric",None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,865.00,Closed,Miami-Dade,Palmetto Express Way exit 122 East to 12Ave. Turn Right to 64th Terr and turn Right. Property on the Left.,2015,None,Single Family Detached,2200,WESTHAVEN HEIGHTS 1ST ADD,None,None,WESTHAVEN HEIGHTS 1ST ADD,RES,C2C,1776.00,Resale,CBS,None,63,"Aluminum, Barrel",1.00,A,"< 4 Floors, Ranch",1776,Resale,None,Public Sewer,Public Water
5,https://www.realtor.com/realestateandhomes-detail/651-W-64th-Dr_Hialeah_FL_33012_M68093-75574,sold,None,430000,StatusSoldPrice/SqFt$220TypeSingleFamilyHomeBuilt1955,4,2.00,2,None,None,"First Floor Entry
          
        
        
          
              Bar","Ceiling Fans, Central Cooling",Central Heat,None,None,None,None,Y,Above Ground Pool,None,None,"Circular Drive, Driveway",Garden View,"Disposal, Dryer, Microwave, Electric Range, Refrigerator, Smoke Detector, Washer",None,None,None,"Other Subdiv/Park Info, Sidewalks",None,None,None,None,None,None,None,2277,Closed Sale,Miami-Dade County,None,2019,Ok To Lease,Single,20,4TH ADDN TO PALM SPRINGS,Post,36,4TH ADDN TO PALM SPRINGS,0100,C2C,2053,Resale,"Concrete Block Construction, CBS Construction",South West,66,Shingle Roof,1,Single Family,Pool Only,2053,Resale,Detached,Municipal Sewer,Municipal Water
6,https://www.realtor.com/realestateandhomes-detail/1255-W-49th-Pl-Apt-E103_Hialeah_FL_33012_M64254-63883,sold,None,120000,StatusSoldPrice/SqFt$233TypeCondo/Townhome/RowHome/Co-OpBuilt1965,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,https://www.realtor.com/realestateandhomes-detail/932-Palm-Ave-3_Hialeah_FL_33010_M52532-79406,sold,None,2200000,"StatusSoldPrice/SqFt$1,833TypeCondo/Townhome/RowHome/Co-OpBuilt2006",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,https://www.realtor.com/realestateandhomes-detail/Hialeah_FL_33010_M52708-02500,sold,None,299250,StatusSoldPrice/SqFt$285TypeSingleFamilyHomeBuilt1962,0,0.00,None,None,None,"First Floor Entry
              Handicap Accessible
          
        
        
          
              Handicap Equipped",Central Cooling,None,None,None,None,None,None,None,None,None,Driveway,None,None,None,None,None,None,None,None,None,None,None,None,None,624,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,30,HIALEAH HOMESITES,Post,12,HIALEAH HOMESITES,4600,C2C,1362,Resale,CBS Construction,East,59,Shingle Roof,1,Single Family,R30-No Pool/No Water,1362,Resale,Detached,Municipal Sewer,Municipal Water
9,https://www.realtor.com/realestateandhomes-detail/561-SE-4th-St_Hialeah_FL_33010_M57424-40269,sold,None,228000,StatusSoldPrice/SqFt$243TypeSingleFamilyHomeBuilt1944,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
