ListingType,description,bedroom,FullBathrooms,HalfBathrooms,BathroomDescription,InteriorFeatures,CoolingFeatures,HeatingFeatures,DiningRoomDescription,ExteriorandLotFeatures,WaterFeatures,WaterfrontDescription,PoolFeatures,PoolDescription,ManufacturedMode,GarageSpaces,ParkingFeatures,HomeFeaturesView,OtherEquipment,ElementarySchool,HighSchool,MiddleSchool,AssociationFeeAmenitie,Association,AssociationAmenities,AssociationFee,AssociationFeeFrequency,CalculatedTotalMonthlyAssociation,MaintenanceDescription,PetDescription,SourceListingStatus,County,Directions,TaxYear,Restrictions,SourcePropertyType,Area,SourceNeighborhood,PostalCode,PublicSurveySection,Subdivision,Zoning,SourceSystemName,TotalSquareFeetLiving,YearBuilt,ConstructionMaterials,DirectionFaces,PropertyAge,Roof,LevelsorStories,StructureType,HouseStyle,TotalAreaSqft,YearBuiltDetails,ArchitecturalStyle,Sewer,WaterSource
sold,StatusSoldPrice/SqFt$218TypeSingleFamilyHomeBuilt1965,,,,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,None,None,,None,None,None,None,None,None,None,None,None
sold,StatusSoldPrice/SqFt$173TypeCondo/Townhome/RowHome/Co-OpBuilt1978SchoolsElementarySchool:PalmBeachGardens,3.0,2.0,,None,First Floor Entry,Wall/Window Unit Cooling,Window/Wall,None,None,None,None,Y,Below Ground Pool,None,,"Driveway, Rv/Boat Parking",Pool Area View,"Electric Water Heater, Electric Range, Refrigerator",Palm Beach Gardens,None,None,"Paved Road, Sidewalks, Street Lights",Yes,Condo,19,Monthly,19,None,None,Closed Sale,Miami-Dade County,None,2019,Other Restrictions,Single,21,2ND ADDN TO PALM SPRINGS,Post,30,2ND ADDN TO PALM SPRINGS,2800,C2C,1716.0,,CBS Construction,West,43.0,Shingle Roof,2,Single Family,Pool Only,1716,Resale,Attached,Municipal Sewer,Municipal Water
sold,StatusSoldPrice/SqFt$267TypeSingleFamilyHomeBuilt1996,3.0,2.0,1.0,Combination Tub & Shower,"Volume Ceilings
          
        
        
          
              Window Features: Arched Windows",Central Cooling,Central Heat,None,None,None,None,None,None,None,,Driveway,Other View,"Dishwasher, Electric Water Heater, Microwave, Electric Range, Refrigerator",None,None,None,"Other Subdiv/Park Info, Sidewalks",None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,Other Restrictions,Single,20,SMOKEYS POINT,Post,25,SMOKEYS POINT,0100,C2C,1771.0,,"CBS Construction, Other Construction",South,25.0,Curved/S-Tile Roof,1,Single Family,R30-No Pool/No Water,1771,Resale,Detached,Municipal Sewer,Municipal Water
sold,StatusSoldPrice/SqFt$286TypeSingleFamilyHomeBuilt1959,3.0,2.0,,Combination Tub & Shower,"First Floor Entry
              Built-Ins
              Closet Cabinetry
          
        
        
          
              French Doors
              Laundry Tub
              Split Bedroom",Central Cooling,Electric Heat,None,None,None,None,Y,"Auto Pool Clean, Below Ground Pool, Equipment Stays, Heated, Whirlpool In Pool",None,1.0,"Covered Parking, Driveway",Pool Area View,"Dishwasher, Disposal, Dryer, Electric Water Heater, Fire Alarm, Fuse Box, Microwave, Refrigerator, Wall Oven, Washer",None,None,None,Sidewalks,None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,Google Maps,2020,No Restrictions,Single,20,DOUGLAS ESTS,Post,25,DOUGLAS ESTS,0100,C2C,1986.0,,Concrete Block Construction,West,62.0,Aluminum Roof,1,Single Family,Pool Only,1986,Effective Year Built,Detached,Municipal Sewer,Municipal Water
sold,StatusSoldPrice/SqFt$412TypeSingleFamilyHomeBuilt1962SchoolsElementarySchool:MiamiLakesMiddleSchool:MiamiLakes,3.0,2.0,,None,"First Floor Entry
          
        
        
          
              Window Features: High Impact Windows",Central Cooling,None,None,None,None,None,Y,"Below Ground Pool, Equipment Stays",None,,Driveway,Garden View,"Dishwasher, Dryer, Electric Range, Refrigerator, Washer",Miami Lakes,None,Miami Lakes,"Paved Road, Sidewalks, Street Lights",None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,"Ok To Lease, No Restrictions",Single,20,MIAMI LAKES SEC ONE,Post,24,MIAMI LAKES SEC ONE,0100,C2C,1742.0,,CBS Construction,North,59.0,Other Roof,1,Single Family,Pool Only,1742,Resale,Detached,Municipal Sewer,Municipal Water
sold,StatusSoldPrice/SqFt$141TypeMulti-FamilyHomeBuilt1971,,,,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,None,None,,None,None,None,None,None,None,None,None,None
sold,StatusSoldPrice/SqFt$178TypeSingleFamilyHomeBuilt1962,3.0,2.0,,None,"Furnished Description: Unfurnished
          
        
        
          
              Flooring: Tile, Wood Floor",Central,Central,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Closed,Miami-Dade,Follow FL-823 S/Red Rd to W 76th St. Turn right onto W 76th St.,2020,None,Single Family Detached,2200,DOUGLAS ESTS 1ST ADDN,None,None,DOUGLAS ESTS 1ST ADDN,0100,C2C,2606.0,,CBS,None,58.0,None,2.00,A,None,2962,Resale,None,None,None
sold,StatusSoldPrice/SqFt$173TypeSingleFamilyHomeBuilt1969,5.0,3.0,1.0,None,"First Floor Entry
          
        
        
          
              Skylight",Central Cooling,Central Heat,None,None,None,None,Y,Below Ground Pool,None,2.0,Circular Drive,Pool Area View,"Dishwasher, Disposal, Dryer, Washer/Dryer Hook-Up, Microwave, Refrigerator, Washer",None,None,None,"Gated Community, Maintained Community",None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,20,MIAMI LAKES - LOCH LOMOND,Post,14,MIAMI LAKES - LOCH LOMOND,0100,C2C,3906.0,,"Concrete Block Construction, CBS Construction",East,52.0,Shingle Roof,1,Single Family,Pool Only,3906,Resale,Detached,Municipal Sewer,Municipal Water
sold,StatusSoldPrice/SqFt$160TypeCondo/Townhome/RowHome/Co-OpBuilt1972,,,,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,None,None,,None,None,None,None,None,None,None,None,None
sold,StatusSoldPrice/SqFt$263TypeCondo/Townhome/RowHome/Co-OpBuilt1968SchoolsElementarySchool:MiamiLakesHighSchool:MiamiLakesEduCntrMiddleSchool:MiamiLakes,2.0,2.0,,"2 Master Bathrooms, Combination Tub & Shower","First Floor Entry
              Built-Ins
              Closet Cabinetry
              Foyer Entry
          
        
        
          
              French Doors
              Split Bedroom
              Walk-In Closets
              Window Features: High Impact Windows",Central Cooling,Central Heat,None,None,None,None,None,None,None,,"2 Or More Spaces, Deeded Parking",Garden View,"Dishwasher, Disposal, Dryer, Gas Water Heater, Microwave, Natural Gas, Refrigerator, Security System Leased, Washer",Miami Lakes,Miami Lakes Edu Cntr,Miami Lakes,None,None,None,None,None,None,No Maintenance Included,None,Closed Sale,Miami-Dade County,GPS or link at left.,2019,"Ok To Lease, No Trucks/RvS, Okay To Lease 1st Year",Townhouse,20,MIAMI LAKES GOLF COURSE V,Post,23,MIAMI LAKES GOLF COURSE V,None,C2C,1333.0,,CBS Construction,East,53.0,None,None,Condo/Co-Op/Villa/Townhouse,Townhouse Fee Simple,1333,Resale,Townhouse Fee Simple,None,None
